date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:06:06	5224/5224	URF---	200	untouched ('OK%20(cached)')	application/woff2		https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-cyrillic-ext.woff2	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
20:06:07	7484/7484	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2006:16:17%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-cyrillic.woff2	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-cyrillic.woff2	(from https://www.classcentral.com/)
20:06:07	6244/6244	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2006:16:17%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-greek-ext.woff2	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-greek-ext.woff2	(from https://www.classcentral.com/)
20:06:07	6696/6696	URF---	200	untouched ('OK%20(cached)')	application/woff2		https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-greek.woff2	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-greek.woff2	(from https://www.classcentral.com/)
20:06:07	4572/4572	URF---	200	untouched ('OK%20(cached)')	application/woff2		https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-vietnamese.woff2	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-vietnamese.woff2	(from https://www.classcentral.com/)
20:06:08	12168/12168	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2006:14:11%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-latin-ext.woff2	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-latin-ext.woff2	(from https://www.classcentral.com/)
20:06:08	12976/12976	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2006:16:17%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-latin.woff2	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-latin.woff2	(from https://www.classcentral.com/)
20:06:08	990/990	URF---	200	untouched ('OK%20(cached)')	image/png		https://www.classcentral.com/images/fade-gradient.png	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/images/fade-gradient.png	(from https://www.classcentral.com/)
20:06:08	50234/50234	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2010%20Jan%202023%2021:29:14%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/CentralClassCopy/www.google-analytics.com/analytics.js	(from https://www.classcentral.com/)
20:06:10	600657/600657	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2023:06:10%20GMT	https://www.classcentral.com/rankings	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/rankings.html	(from https://www.classcentral.com/)
20:06:11	593557/593557	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2023:06:11%20GMT	https://www.classcentral.com/collections	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/collections.html	(from https://www.classcentral.com/)
20:06:11	576080/576080	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2023:06:11%20GMT	https://www.classcentral.com/subjects	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/subjects.html	(from https://www.classcentral.com/)
20:06:12	893289/893289	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2023:06:12%20GMT	https://www.classcentral.com/subject/cs	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/subject/cs.html	(from https://www.classcentral.com/)
20:06:13	7666/7666	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2020%20Feb%202023%2023:06:13%20GMT	https://www.classcentral.com/subject/maths	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/subject/maths	(from https://www.classcentral.com/)
20:06:13	7914/7914	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2020%20Feb%202023%2023:06:13%20GMT	https://www.classcentral.com/subject/business	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/subject/business.2a.delayed	(from https://www.classcentral.com/)
20:06:13	848299/848299	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2023:06:13%20GMT	https://www.classcentral.com/subject/health	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/subject/health.html	(from https://www.classcentral.com/)
20:06:13	7711/7711	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2020%20Feb%202023%2023:06:14%20GMT	https://www.classcentral.com/subject/humanities	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/subject/humanities	(from https://www.classcentral.com/)
20:06:14	7927/7927	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2020%20Feb%202023%2023:06:14%20GMT	https://www.classcentral.com/subject/engineering	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/subject/engineering.2c.delayed	(from https://www.classcentral.com/)
20:06:14	7890/7890	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2020%20Feb%202023%2023:06:15%20GMT	https://www.classcentral.com/subject/science	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/subject/science.2d.delayed	(from https://www.classcentral.com/)
20:06:14	7900/7900	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2020%20Feb%202023%2023:06:15%20GMT	https://www.classcentral.com/subject/education	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/subject/education.2e.delayed	(from https://www.classcentral.com/)
20:06:15	7947/7947	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2020%20Feb%202023%2023:06:15%20GMT	https://www.classcentral.com/subject/social-sciences	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/subject/social-sciences.2f.delayed	(from https://www.classcentral.com/)
20:06:15	7961/7961	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2020%20Feb%202023%2023:06:16%20GMT	https://www.classcentral.com/subject/art-and-design	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/subject/art-and-design.30.delayed	(from https://www.classcentral.com/)
20:06:15	7934/7934	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2020%20Feb%202023%2023:06:16%20GMT	https://www.classcentral.com/subject/data-science	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/subject/data-science.31.delayed	(from https://www.classcentral.com/)
20:06:15	8102/8102	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2020%20Feb%202023%2023:06:16%20GMT	https://www.classcentral.com/subject/programming-and-software-development	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/subject/programming-and-software-development.32.delayed	(from https://www.classcentral.com/)
20:06:16	7987/7987	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2020%20Feb%202023%2023:06:16%20GMT	https://www.classcentral.com/subject/personal-development	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/subject/personal-development.33.delayed	(from https://www.classcentral.com/)
20:06:16	7889/7889	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2020%20Feb%202023%2023:06:17%20GMT	https://www.classcentral.com/subject/infosec	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/subject/infosec.34.delayed	(from https://www.classcentral.com/)
20:06:19	3021464/3021464	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2023:06:18%20GMT	https://www.classcentral.com/universities	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/universities.html	(from https://www.classcentral.com/)
20:06:19	837424/837424	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2023:06:19%20GMT	https://www.classcentral.com/collection/top-free-online-courses	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/collection/top-free-online-courses.html	(from https://www.classcentral.com/)
20:06:20	4282/4282	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Jan%202023%2012:59:08%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-best-of-all-time.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=d9866ee3df3a50272132b746506802ee	C:/My%20Web%20Sites/CentralClassCopy/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-best-of-all-time3e68.png	(from https://www.classcentral.com/)
20:06:21	33057/33057	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Feb%202023%2004:00:56%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-best-of-all-time.png?auto=format&h=420&ixlib=php-3.3.1&s=11c7448eb8908a8cc785e26ec27de650	C:/My%20Web%20Sites/CentralClassCopy/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-best-of-all-timec7ac.png	(from https://www.classcentral.com/)
20:06:21	4168/4168	URF---	200	untouched ('OK%20(cached)')	image/png		https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-most-popular-of-all-time.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=6b9b3ca668420c3d807c332c51ee7f2c	C:/My%20Web%20Sites/CentralClassCopy/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-most-popular-of-all-time0931.png	(from https://www.classcentral.com/)
20:06:21	35437/35437	URF---	200	untouched ('OK%20(cached)')	image/png		https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-most-popular-of-all-time.png?auto=format&h=420&ixlib=php-3.3.1&s=8ddc221d6528da20924c85c064e17572	C:/My%20Web%20Sites/CentralClassCopy/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-most-popular-of-all-time45d9.png	(from https://www.classcentral.com/)
20:06:23	817052/817052	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2023:06:23%20GMT	https://www.classcentral.com/collection/ivy-league-moocs	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/collection/ivy-league-moocs.html	(from https://www.classcentral.com/)
20:06:23	6215/6215	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20Jan%202023%2012:57:49%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-ivy-league-moocs-social.jpg?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=0d3af0d0d31cdbdc684a726b330a759f	C:/My%20Web%20Sites/CentralClassCopy/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-ivy-league-moocs-social5b92.jpg	(from https://www.classcentral.com/)
20:06:24	50744/50744	---M--	200	added ('OK')	image/jpeg	date:Mon,%2020%20Feb%202023%2008:56:01%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-ivy-league-moocs-social.jpg?auto=format&h=420&ixlib=php-3.3.1&s=c49b305f32e1e971696b9852e3971c6b	C:/My%20Web%20Sites/CentralClassCopy/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-ivy-league-moocs-social1fe9.jpg	(from https://www.classcentral.com/)
20:06:24	5751/5751	URF---	200	untouched ('OK%20(cached)')	image/png		https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-coursera-free-courses.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=dbef6e5a11e80f652ab6a5ce5eb593b8	C:/My%20Web%20Sites/CentralClassCopy/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-coursera-free-coursesd038.png	(from https://www.classcentral.com/)
20:06:24	96645/96645	URF---	200	untouched ('OK%20(cached)')	image/png		https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-coursera-free-courses.png?auto=format&h=420&ixlib=php-3.3.1&s=9044610de77ddba19697f770dd2531c7	C:/My%20Web%20Sites/CentralClassCopy/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-coursera-free-courses08e8.png	(from https://www.classcentral.com/)
20:06:25	6083/6083	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Feb%202023%2012:55:21%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-free-certificates.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=f880669c2a69683d851d6be4ee71652e	C:/My%20Web%20Sites/CentralClassCopy/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-free-certificates7462.png	(from https://www.classcentral.com/)
20:06:26	93874/93874	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Feb%202023%2008:56:03%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-free-certificates.png?auto=format&h=420&ixlib=php-3.3.1&s=bc50a602c38dbf30802649312c6a4474	C:/My%20Web%20Sites/CentralClassCopy/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-free-certificatesbc95.png	(from https://www.classcentral.com/)
20:06:26	6773/6773	URF---	200	untouched ('OK%20(cached)')	image/png		https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-google-certs.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=0d0859ee6dce9cd586fcc06d2e5d34ec	C:/My%20Web%20Sites/CentralClassCopy/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-google-certsa0be.png	(from https://www.classcentral.com/)
20:06:26	29596/29596	URF---	200	untouched ('OK%20(cached)')	image/png		https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-google-certs.png?auto=format&h=420&ixlib=php-3.3.1&s=ac4c48d612e7961d7335e87451e52ac4	C:/My%20Web%20Sites/CentralClassCopy/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-google-certsc6f1.png	(from https://www.classcentral.com/)
20:06:28	849814/849814	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2023:06:28%20GMT	https://www.classcentral.com/starting-this-month	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/starting-this-month.html	(from https://www.classcentral.com/)
20:06:28	374/374	---MC-	302	error ('Found')	text/html	date:Mon,%2020%20Feb%202023%2023:06:28%20GMT	https://www.classcentral.com/new-online-courses	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/new-online-courses.45.delayed	(from https://www.classcentral.com/)
20:06:28	498/498	---MC-	302	error ('Found')	text/html	date:Mon,%2020%20Feb%202023%2023:06:29%20GMT	https://www.classcentral.com/most-popular-courses	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/most-popular-courses	(from https://www.classcentral.com/)
20:06:29	785259/785259	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2023:06:29%20GMT	https://www.classcentral.com/new-online-courses/january-2023	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/new-online-courses/january-2023.html	(from https://www.classcentral.com/)
20:06:30	841895/841895	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2023:06:30%20GMT	https://www.classcentral.com/subject/ai	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/subject/ai.html	(from https://www.classcentral.com/)
20:06:31	828035/828035	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2023:06:31%20GMT	https://www.classcentral.com/subject/algorithms-and-data-structures	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/subject/algorithms-and-data-structures.html	(from https://www.classcentral.com/)
20:06:32	771567/771567	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2023:06:32%20GMT	https://www.classcentral.com/subject/internet-of-things	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/subject/internet-of-things.html	(from https://www.classcentral.com/)
20:06:32	7771/7771	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2020%20Feb%202023%2023:06:33%20GMT	https://www.classcentral.com/subject/computer-networking	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/subject/computer-networking	(from https://www.classcentral.com/)
20:06:32	7950/7950	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2020%20Feb%202023%2023:06:33%20GMT	https://www.classcentral.com/subject/machine-learning	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/subject/machine-learning.4d.delayed	(from https://www.classcentral.com/)
20:06:33	790192/790192	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2023:06:33%20GMT	https://www.classcentral.com/subject/information-technology	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/subject/information-technology.html	(from https://www.classcentral.com/)
